frame,timestamp,yolo_detected,skeleton_extracted,skeleton_normalized,buffer_size,fall_probability,status
1,0.03,False,False,False,0,0.0,NORMAL
2,0.07,False,False,False,0,0.0,NORMAL
3,0.10,False,False,False,0,0.0,NORMAL
4,0.14,True,True,True,1,0.0,NORMAL
5,0.17,True,True,True,2,0.0,NORMAL
6,0.21,True,True,True,3,0.0,NORMAL
7,0.24,True,True,True,4,0.0,NORMAL
8,0.28,True,False,False,4,0.0,NORMAL
9,0.31,True,False,False,4,0.0,NORMAL
10,0.34,True,True,True,5,0.0,NORMAL
11,0.38,True,True,True,6,0.0,NORMAL
12,0.41,True,True,True,7,0.0,NORMAL
13,0.45,True,True,True,8,0.0,NORMAL
14,0.48,True,True,True,9,0.0,NORMAL
15,0.52,True,True,True,10,0.0,NORMAL
16,0.55,True,True,True,11,0.0,NORMAL
17,0.59,True,True,True,12,0.0,NORMAL
18,0.62,True,True,True,13,0.0,NORMAL
19,0.66,True,True,True,14,0.0,NORMAL
20,0.69,True,True,True,15,0.0,NORMAL
21,0.72,True,True,True,16,0.0,NORMAL
22,0.76,True,True,True,17,0.0,NORMAL
23,0.79,True,True,True,18,0.0,NORMAL
24,0.83,True,True,True,19,0.0,NORMAL
25,0.86,True,True,True,20,0.0,NORMAL
26,0.90,True,True,True,21,0.0,NORMAL
27,0.93,True,True,True,22,0.0,NORMAL
28,0.97,True,True,True,23,0.0,NORMAL
29,1.00,True,True,True,24,0.0,NORMAL
30,1.03,True,True,True,25,0.0,NORMAL
31,1.07,True,True,True,26,0.0,NORMAL
32,1.10,True,True,True,27,0.0,NORMAL
33,1.14,True,True,True,28,0.0,NORMAL
34,1.17,True,True,True,29,0.0,NORMAL
35,1.21,True,True,True,30,23.4,NORMAL
36,1.24,True,True,True,30,1.0,NORMAL
37,1.28,True,True,True,30,1.5,NORMAL
38,1.31,True,True,True,30,0.3,NORMAL
39,1.34,True,True,True,30,6.1,NORMAL
40,1.38,True,True,True,30,43.3,NORMAL
41,1.41,True,True,True,30,0.7,NORMAL
42,1.45,True,True,True,30,49.4,NORMAL
43,1.48,True,True,True,30,50.3,FALL
44,1.52,True,True,True,30,33.7,NORMAL
45,1.55,True,True,True,30,50.8,FALL
46,1.59,True,True,True,30,2.7,NORMAL
47,1.62,True,True,True,30,3.4,NORMAL
48,1.66,True,True,True,30,5.6,NORMAL
49,1.69,True,True,True,30,2.9,NORMAL
